"Título","Autor","Género","Tema"
"Cien años de soledad","Gabriel García Márquez","Novela","Realismo mágico, historia familiar"
"La casa de los espíritus","Isabel Allende","Novela","Realismo mágico, política, amor"
"Ficciones","Jorge Luis Borges","Cuentos","Metaficción, filosofía"
"Rayuela","Julio Cortázar","Novela","Narrativa experimental, búsqueda de identidad"
"Pedro Páramo","Juan Rulfo","Novela","Realismo mágico, soledad"
"La sombra del viento","Carlos Ruiz Zafón","Novela","Misterio, historia, amor por los libros"
"Los detectives salvajes","Roberto Bolaño","Novela","Literatura urbana, búsqueda, generación perdida"
"La casa de los espíritus","Isabel Allende","Novela","Realismo mágico, política, amor"
"La ciudad y los perros","Mario Vargas Llosa","Novela","Instituciones educativas, corrupción"
"Conversación en la catedral","Mario Vargas Llosa","Novela","Política, corrupción, alienación"
"Los pasos perdidos","Alejo Carpentier","Novela","Búsqueda espiritual, mito"
"La fiesta ajena","Mauricio Babilonia","Cuentos","Identidad, diversidad, migración"
"Pedro y el capitán","Mario Benedetti","Drama","Tortura, represión política"
"Los ríos profundos","José María Arguedas","Novela","Identidad, conflicto cultural"
"Los de abajo","Mariano Azuela","Novela","Revolución mexicana, lucha social"
"Los detectives salvajes","Roberto Bolaño","Novela","Literatura urbana, búsqueda, generación perdida"
"El otoño del patriarca","Gabriel García Márquez","Novela","Dictadura, poder, soledad"
"Los días enmascarados","Carlos Fuentes","Cuentos","Identidad, tradición, modernidad"
"El entenado","Juan José Saer","Novela","Colonización, alteridad, violencia"
"Cien años de soledad","Gabriel García Márquez","Novela","Realismo mágico, historia familiar"
"La casa de los espíritus","Isabel Allende","Novela","Realismo mágico, política, amor"
"Ficciones","Jorge Luis Borges","Cuentos","Metaficción, filosofía"
"Rayuela","Julio Cortázar","Novela","Narrativa experimental, búsqueda de identidad"
"Pedro Páramo","Juan Rulfo","Novela","Realismo mágico, soledad"
"La sombra del viento","Carlos Ruiz Zafón","Novela","Misterio, historia, amor por los libros"
"Los detectives salvajes","Roberto Bolaño","Novela","Literatura urbana, búsqueda, generación perdida"
"La casa de los espíritus","Isabel Allende","Novela","Realismo mágico, política, amor"
"La ciudad y los perros","Mario Vargas Llosa","Novela","Instituciones educativas, corrupción"
"Conversación en la catedral","Mario Vargas Llosa","Novela","Política, corrupción, alienación"
"Los pasos perdidos","Alejo Carpentier","Novela","Búsqueda espiritual, mito"
